prod,title,author,date,review_format,stars,comments,n_helpful
Venom,"Paid reviews aside, a critical look at ""Venom.""",Vargr,13-Dec-18,Format: Prime VideoVerified Purchase,3,"So, ""Venom,"" where do I start? The good? The bad? The ugly (CGI)?How about instead of a structured thesis-style presentation I just stream of conscious my impressions of the movie?The VERY beginning of Venom is actually pretty bland, it's not unlike the beginning of Rampage, ""space, specimens, oh jeez a wreck."" After this segment, Venom actually does a pretty good job at being a low-impact horror-esque film for a little bit. We see a symbiont jumping from one person to the next, levying horror and murder everywhere it goes. I was pretty engaged, thinking to myself ""this is pretty edgy for a marvel film."" Now, the horror elements are neutered, to the point it kind of reminds me of the ""sweat instead of blood"" SNES Mortal Kombat port of old. You will see some people die, a few get eaten, but you won't ""see"" it if you know what I mean?We're then turned to Eddie Brock and given a glimpse into what a narcissistic loser he is for about 20 minutes. You're also treated to the sociopathic ""genius"" head of the facility that owns the spacecraft you saw in the beginning. Somewhere in this mixture you finally get to see the symbiont that will become Venom jump to Brock. I'm going to take a second here to voice my irritation with how simple they make the bonding process look. In the comics, as Venom evolved, the process of the organism bonding with hosts became much more violent. This aspect of the character should have been maintained in this movie, in my opinion. It would feel much more visceral if you saw images of these ""symbiotes"" somewhat violently forcing themselves on their hosts than the ""oh I've spilled some grape juice on my shirt aaaaaaand it's gone"" kind of effect they went with.For the sake of this review I'll separate Venom into three acts, Eddie merging with the symbiont marks the end of act one. At this point in the movie, there is an abrupt change in tone. It goes from this tame horror style that it established, to a comedy. It's not a smooth transition either, Eddie is walking down the street after escaping the lab, a gravelly voice starts talking to him. There is little time spent studying the bonding process between symbiont and man, there is little time spent showing the symbiont digging into who Eddie is as a person, and there is little time spent explaining or even really discussing the physiological symptoms they describe as byproducts of the union between man and alien. They actually never address this to a point I am comfortable with. In the scene where a doctor describes to Eddie that the symbiont is harming him, potentially even dooming him, they never make a point of explaining how the symbiont is in fact a ""symbiote"" and not a ""parasite"" by definition. At the end of act 2, the movie again abruptly changes pace by ending this comedic stretch it establishes and turning somewhat dark again, as Venom explains that under no uncertain circumstances, it's goal is domination and eradication of the human species, and then earth. Venom even taunts Brock at one point, ""You’re a loser.""The movie lost my attention somewhat around this point, so I may have missed something in the third act, which is where the stereotypical ""redemption and boss battle"" sequence plays in. This is where I really developed some gripes with the CGI, it's pretty lackluster in the beginning, the big ""Venom reveal"" was undercut by just how bad Venom looks, in my opinion at least, maybe you'll be easier on the visuals. Actually, ""bad"" may be a poor choice of word, ""cheap"" is a more accurate term in my mind. He looks ""shiny"" and unrefined, it reminds of 10 year old almost top of the line CGI. The visuals are really unimpressive.From here, we follow Eddie and Venom as become fast friends and eventually fight the other symbiont that's been roaming freely since the beginning of the movie. The final showdown feels like it was meant to be really epic, yet it didn't even keep my eyes on the screen. I actually started playing FFT WOTL on my phone when Eddie made a statement something to the effect of ""I had an alien in my @$$."" The movie eventually ends with a pretty stereotypical death for the main antagonist, and you're then thrust onto Eddie's shoulder as he walks into a prison to interview a serial killer. I did smile when I saw Woody Harrelson's face, that smile turned a furrowed frown with the closing line of the film... ""When I get out of here, and I will... There WILL be... CARNAGE.""I heard Stan and Kyle from Southpark in the back of my head... ""Oh f*** you.""In the end, I'm left with this as an impression... Venom could have been a really good movie. I do understand they /have/ to tie him into the larger Marvel Comics Cinematic Universe at some point, so I get that they needed to present a product tame enough for a wide audience, from their perspectives at least. However, in my opinion, which is worth what it cost you... They could have simply done Venom right as a stand-alone movie, included all the necessary horror and violence elements in full swing, while providing a final act that ran a compelling change of heart on Venom's side, and really still been perfectly set to have him appear in more kid friendly films without much adjustment.So while Venom isn't really a ""bad movie,"" it's a really average film with a great leading man, if it wasn't for Tom Hardy's general affability, the film would have had zero charisma (which was a better movie). I just didn't really find the movie ""likeable,"" I'll watch it again over the weekend with my wife and a few beers, maybe that will improve the experience, but I doubt it.",7
Venom,The Death of Superhero Films,T. Norton,15-Dec-18,Format: Prime VideoVerified Purchase,1,The film doesn’t know what it really wants to be and the CGI is terribly dodgy. Felt like I was watching a SyFy movie.,11
Venom,Too bad this had to be Stan Lee’s Last Movie,Christopher Hausmann,22-Dec-18,Format: Prime VideoVerified Purchase,1,"Lame!  My teenagers liked it but that was about it.  The main star subtraction is for Amazon not the movie!!!I just wish that Amazine would let me custom arrange my Video Library instead of only offering by date purchased or alphabetical order.  I would prefer to arrange by genre, episode, number in franchise so that I could group my movies together instead of having a hodge podge to sort through!",9
Venom,"Critics say meh, but they'd be wrong",Sam Kreutzer,15-Dec-18,Format: Prime VideoVerified Purchase,5,"Rotten Tomatoes gives Venom a 28%, IMDb a 6.9/10 and Metacritic a 35% but I strongly disagree. Tom Hardy is excellent as Eddie Brock and Venom. I'd been wanting to see this movie for a while and lemme tell you, 10/10 would recommend. Venom is hilarious and it makes me think about these 'symbiotes' and their consciousness, where they're not so far off from humans. If you're on the edge about this movie, I think it's great! Dark humor, a plot that's pretty easy to follow and who can go wrong with Tom Hardy?",10
Venom,"Rushed, Uninspired, Embarrassing, Poorly cast, at least its short.",Max Lennon Keith,21-Dec-18,Format: Prime VideoVerified Purchase,1,"This movie is the worst kind of bad movie. A mediocre bad movie. Nothing outstanding here. Undeveloped characters with little to no motivation at all, poor set up, no reason to care. Some fun little action moments here and there and comedy that often falls flat. Cheap looking cgi, Venom looks silly. No reason to watch this movie unless you're a Venom fan I guess.",10
Venom,"The professional critics are but holes. Venom to me surprisingly, OUTSTANDING!!!!!",Mark Schuster,24-Dec-18,Format: Prime VideoVerified Purchase,5,"I DIDN'T DISLIKE ANYTHING!  The initial trailer did the opposite most trailers do. It left me totally uninterested. I normally buy Marvel comic movies. I never read a Venom comic. I will now. The relationship with eddie (incredible actor) and Venom is OUTSTANDING! Ive watched it 5 times for each start i've given it. I rented it thinking it would be so so from the trailer. trust me its not so so. It is the most FUN movie i've seen in a long time. I loved avengers infinity war. I loved Ragnarok. But I loved Venom the most. There is no part I fast forwarded through even on the 5th watch !BUY IT! totally outstanding.This is the first Tom Hardy movie i've ever seen. What a power house. incredible dry humor.  His conversations with Venom are hysterical! I mean if I were falling off a building screaming I could never think of ""Where did you go...where did you go ahhhhh stop. I got us lol each scene is just incredibleBy the elevators Venom says  JUMP as they are like 200 stories in the air. Next scene Tom hardy (eddie) is pushing the elevator button.Venom says in his venom voice ""Pussy"" you gotta be there ! incredible ! Im not much for the academy awards but id give both Edie and venom an academy award!  ""Another great line ""No you do not eat policemen"" lol Its not frightening, but then none of the Marvel movies are frightening.  Its just super entertaining. And Im not one to ever much do a review unless I absolutely love it.I wonder who played Venom. his voice and the things he said the way he said them incredible!",5
Venom,Tom Hardy’s worst.,LongClaw,21-Dec-18,Format: Prime VideoVerified Purchase,1,"Horrible acting by Tom Hardy. Laughable villain.  Oh, and Woody Harrelson is Carnage...lol.",9
Venom,Loads Of Entertainment,VictoriaSelene Skye~Deme,12-Dec-18,Format: Prime VideoVerified Purchase,5,"I kept checking daily for Venom to become available to buy since all I heard was good things from my friends, and they were right. Mind blown. Love the story, the concept, the detailed flow of the outline, the interesting context and the incredible special effects are TOP NOTCH!  The humor is delightful, darkly delightful, I don't know who does the voice of Venom, but the delivery is perfection. This is a watch over and over again movie. So glad it finally became available, this was one I was salivating for! And I was not disappointed. 10 stars!!!!",6
Venom,Loved it!,SHAWN KERMANI,11-Dec-18,Format: Prime VideoVerified Purchase,5,"I am sorry but the critics don't know what they are talking about. This is a great Venom based movie. Tom Hardy does a excellent job playing both Eddie Broc, and Venom. The critics all cried foul over one issue most of all, and that was , ""Where is Spiderman?"", WHO CARES if Spiderman is not in the movie, I came to see Venom. ""But you can't have Venom without Spiderman."" Yum, yes you can!Anyway, long story short Venom is both dark, funny, and sappy at times. Could it have been more violent if it had an R rating? Sure, but nonetheless it is worth your money and time if you are a fan of Venom.",6
Venom,Just not good,E. Ostrom,16-Dec-18,Format: Prime VideoVerified Purchase,1,Maybe if your a Tom Hardy fan you can look past this mess of a movie.  It takes forever before before Venom shows up. The story is long and boring.,8
Venom,VERY Misleading Runtime,MovieMan M,8-Jan-19,Format: Blu-rayVerified Purchase,3,"The movie itself is alright, it's just that it's actually only 90 minutes long with 17 minutes of end credits, a two minute mid-credit scene, and a four minute post credit clip from the upcoming spider-verse movie. This is even more frustrating because the first actual Venom transformation isn't until the 1 hour mark, so the movie is basically an hour of build-up and then 30 minutes of action.",6
Venom,Better than Spider-Man 3,James Wink,26-Dec-18,Format: Blu-rayVerified Purchase,3,"Watching Venom, I was pleasantly surprised -  I was better than it had any right to be after a series of disappointing trailers and bad critical reviews. There are many reasons why this movie is not very good - the plot is laughable, the CG goes from pretty decent to horrible. For Marvel-fans, it pretty much destroys any continuity from the comic books. With these negatives, the review should be 1 - 2 stars but I am giving Venom three stars for one reason: Tom Hardy. His presence anchors Venom in a way that makes all the criticism fall away. His performance is the best thing about the movie and elevates it into a respectable movie. He makes you sympathetic to Eddie Brock, an anti-hero with very few redeemable qualities. What helps elevate his performance is that Eddie doesn't really become a hero....he is still on the line between hero and villain at the end of the movie (I will leave it up to fellow viewers to determine which side of the line).Venom is still not a good movie but it is far from the debacle that everyone suspected before its release. I am cautiously optimistic about the inevitable sequel.Mild Recommend.",3
Venom,Ignore the critic and watch this movie!,Linda J.,16-Dec-18,Format: Prime VideoVerified Purchase,5,I heard so many bad things about this movie that I waited for video to watch it.  I'm sad that I did.  It was AWESOME!!!  Tom Hardy did an excellent job with both characters.  It was entertaining and funny.  I'm glad I bought it so I can watch it again and again.,6
Venom,Partner up with your own Symbiont.,fenx1200,21-Dec-18,Format: Prime VideoVerified Purchase,5,"I thought the beginning of the movie was a bit cheesy as well as the acting.  Perhaps a low budget movie was going to unfold before my eyes with really one good actor, and that is Tom Hardy, and even his acting was a bit troubling.  However, as the plot unfolded, the action and the acting picked up quickly leading to a movie in which I had to stay tuned to every minute, lest I would miss something vital to the overall performance.  The movie quickly grew on me and I found myself embracing the alien, Venom. and his partner, Tom Hardy, as both of them teamed up to destroy evil for the greater good of the earth. I won't spoil the plot, and keep in mind that this is a Marvel Universe film, not an epic masterpiece like Gone With The Wind, but perhaps just as important when it comes to saving the Earth from an Alien Invasion.  If you love Marvel movies, then you will enjoy this one, and perhaps you'll want to get your own symbiont, and fight crime to feed the beast.",3
Venom,A Very Hardy Movie,K. Borah,18-Jan-19,Format: Prime VideoVerified Purchase,4,"The story suffers from what I now call Stan Lee Syndrome or Origins disease. Seems Marvel can't write a script without bogging it down with origins and this plight as infected several other media presentations of late... Think about the excessive flash backing in almost every TV show or spending needless story time making sure we know way more then we need to know about why someone is the way they are. Be that has it may, this film survives, not by it's creative storytelling by any stretch of the imagination or lack there of but by it's strong casting. Mainly Tom Hardy, the titular character who is able to bring a refreshing grounded quality in portraying his plight to understand and comprehend the strange things that are happening to him. Michelle Williams is a bright star who deserves more screen time then she is given here. By the time the credits role you are left wondering why they did not let us know more about her then we were allowed to enjoy. Overall, seeing this film on its first viewing prompted me to see it again (something few films have accomplished since LOTR) says a great deal about it's watch-ability. Die hard fans seem to complain that the Venom character is toned down too much from its comic book persona and I can understand why this would be an issue. It seems this would have been better served has a Hard R action fest then a over produced Saturday matinee extravaganza that it has become, but it still manages to entertain just for performances if not the story or the lack thereof.",2
Venom,"A fun movie, of a comic character world. I hope they do more with Tom Hardy!",jason guion,23-Dec-18,Format: Prime VideoVerified Purchase,4,"Before watching it I saw a review on YouTube savaging this movie. The guy made a high production value and very long video decrying so called dual prologues, confusing time jumps...but I rented anyway. I really enjoyed it, and I feel sorry for anyone who was unable to go into a movie understanding it comes from a comic book, and wasn’t supposed to touch nerves the way Saving Private Ryan does. Tom Hardy is a great actor of our time in my opinion. Roles like his homeless Stuart, as scary London gangsters, all the way to roles as a good guy with a sweet disposition are all great to watch, and he does a great job here of being kind but tough good man with a broken heart trying to do good, while doing an excellent job having to pretend that there is a whole other living personality inside him deciding to move in permanently, knowing everything it’s host knows and feels. The review said the effects were average, but they were as good as any, and the story is fast, and funny with great thought out action sequences. Who doesn’t love Steve Mcqueen inventing the car chase, and then doesn’t enjoy a kick butt chase here as well. Everyone did a great job acting, and the there are only really one time jump, and it is simply forward. If that is confusing, or you came for some never before seen special effects as your motivation instead of the Venom comic world and story in it then go see something else. This was fun and I hope Tom Hardy and the others do some more movies very soon. And that Hardy pops that guy in the nose once, for actually putting the dictionary definition of prologue on the screen in his review as though it is some special knowledge no one else understands! Fun movie!",2
Venom,Save your time and money,Kindle Customer,14-Dec-18,Format: Prime VideoVerified Purchase,1,"I really hoped to like this film, but it was truly a waste of time and money. I thought I would enjoy it, but looks like the critics were right.",7
Venom,It's not perfect but it doesn't have to be because IT'S A VENOM MOVIE!!!,Landon,28-Dec-18,Format: Blu-rayVerified Purchase,4,"First, I will start by saying this movie was not perfect, but it is leading to something soon to be great.(SPOILERS PAST THIS POINT)..The villain was okay, but I thought it would feature multiple symbiotes fighting Venom as more were discovered at the crash sight. But nope, it was just riot vs venom. The others were no where to be found towards the end of the movie. It does however make you think though as to what happens to the others, maybe one of them is carnage looking for a new host (Cletus)??? Who knows??? All I know is that this movie is still a fun ride. The action was awesome and Venom looked very cool. The cg of venom was kind of bad at times, and yet other times it looked good which was weird. It felt like some scenes the cgi was done differently by different people, which explains why at times Venom looks great and then a little fake the next shot. Overall, the movie was a fun ride and I'm sure the budget for the next film will allow for a better cg venom. All I know is I'm ready for some Carnage. Can't wait for Venom 2!!!! I highly suggest this movie.",2
Venom,"Uneven and full of plotholes, but fun",mcteenie,19-Dec-18,Format: Prime VideoVerified Purchase,3,"The odd part of this movie is that I feel like despite the first third of it grinding on forever setting up Eddie Brock and his foes that the plot and characters are 2 dimensional and cliche.  Near the end, everyone's motivations seemingly come out of nowhere (and don't benefit from all the meandering plot building in the establishing act) and there's zero reason you'd imagine anyone to be doing whatever they're doing.  If cut and paced better, maybe this wouldn't annoy me so much and the film would warrant more than one viewing.  Others have pointed out that it does feel like a throwback to 90s superhero/action films (for better or worse) and I'll definitely agree with that.I think all the actors (who are otherwise phenomenal) are wasted in this.  Tom Hardy meanders through like an unlikeable drunk which may have been the point.  The cast is great, but they presumably did their best with the script they were given.Overall, I had fun watching this.  Venom (the character) was great and when things finally started happening it was a fun ride.  Venom interacting with Eddie came off as hokey at first, but was pretty funny once I stopped framing the movie in my head as a ""serious"" super hero movie.I'm confused as to why Sony made this film; now that Spider Man is in the other Marvel universe and was very conspicuously absent , it leaves out a big part of Venom's story and origin.  Even in the unlikely event that Venom made the jump to that universe, he's coming over more or less fully formed and it would be weird to retcon his origin and hatred of Spider Man to use his character the way comic fans would expect.Superhero films have come a long way, but I think a lot of us have lost track of the fact that super powered people in costumes and alien symbiotes are pretty ridiculous when you think about it.  Maybe Venom could have been a better developed film, but it's an alien parasite that eats people and riffs with Tom Hardy's character.  If you aren't expecting The Dark Night or something that is faithful to the comics Venom can be fun.",3
Venom,LOVED THIS MOVIE!,Cassandra Rodriguez,22-Dec-18,Format: Prime VideoVerified Purchase,5,Finally something NEW and something DIFFERENT. This movie was hands down amazing. I was expecting it to suck. Not going to lie. I expected a super hero BATTLING someone evil named venom BUT plot twist the alien that takes over the main character is a decent guy. If your looking for a movie that’s NOT the same as every single movie already existing then watch this one <U+0001F481><U+0001F3FC><U+200D><U+2640><U+FE0F>,4
Venom,Tom Hardy has my vote in being Venom,MarioLegend,26-Jan-19,Format: Prime VideoVerified Purchase,5,"This story version of Venom is totally acceptable to me. The movie narrative overall is fun to watch and Tom Hardy got my vote in being Venom. I'm intrigued in what the producers will do with this going forward. Also to add, I went in with low expectations and I was very well surprised in seeing this new take on the infamous comic book character. I can't wait to see more.Side note: Just gotta have an open mind and accept different takes on things creatively. This take on the character is good one and has my attention on what comes after. There are so many versions of Venom out there too- and this one is just another one that currently shines for me. Hell, maybe we can see a Venom-verse? Once people who are so stuck up understand there is a multiverse full of different versions of the character, they can just drop it and let others enjoy another perspective. Granted, it has the blessing of Stan Lee and Marvel Studios, so I'm totally fine with this. Sony is getting better with being more open to getting help in making a good story.(pardon my bad grammar)",2
Venom,DO NOT READ THE CRITICS REVIEWS! Venom and tom hardy kill it.,Tabby22,1-Jan-19,Format: Prime VideoVerified Purchase,5,Being a life long spider-man and Venom fan this movie hits the mark for a post evil Eddie Brock Movie.  Venom holds its own without Spidy same as the Agent Venom comics.  Ignore the critics who look at this as a sub par movie and look at it as an action packed grey area super hero movie.  If you ever wanted to know what  the banter between Eddie and venom would be this is the movie for it.  As well no white spider and the fixing of the pronunciation of the word symbiote sold it.  Cant wait for the next movie SPOILER: Woody Harilson as Cletis Cassidy will just rock.,3
Venom,A Step Up For Marvel,Review,29-Dec-18,Format: Prime VideoVerified Purchase,4,"Venom is a commendable divergence by Marvel away from mythology and the uni-dimensional superhero characters of the recent past into a more complex territory of science fiction. Some might call Venom a kind of an optimistic update to the 1978 classic Scifi film ""Invasion Of The Body Snatchers"", but with many twists.  Tom Hardy brings a comic and subtly self-deprecating dimension into the fold that works very well in his portrayal of Eddie Brock, a journalist with a conscience and Michelle Williams is wonderful as Anne Weying, Eddie's ex-fiancee and a San Francisco district attorney. It is somehow too easy to give too much of this film away by discussing it. Suffice it to say that it is entertaining and worth a look, especially if you have been burned out by too many run of the mill superhero films.",2
